customer_id,gender,age,contract_type,monthly_charges,total_charges,churn_status
111,Female,65,Month-to-Month,32.26,3995.93,Not Churned
112,Male,33,Month-to-Month,31.32,4863.38,Not Churned
113,Male,21,Month-to-Month,64.64,3104.55,Not Churned
114,Female,23,Two Year,72.93,1623.22,Not Churned
115,Female,64,Two Year,48.72,3015.51,Churned
116,Female,35,Two Year,76.47,4922.48,Churned
117,Male,27,Two Year,67.96,2871.51,Churned
118,Female,34,One Year,96.45,4941.46,Churned
119,Female,42,Two Year,63.62,2666.63,Churned
120,Female,68,Two Year,92.24,536.41,Churned
121,Female,66,Month-to-Month,42.36,1849.23,Churned
122,Female,22,Month-to-Month,92.66,1730.5,Churned
123,Female,20,Two Year,76.47,4772.01,Churned
124,Male,47,Two Year,62.02,2947.05,Not Churned
125,Male,22,Two Year,70.63,4011.49,Not Churned
126,Female,55,Two Year,35.93,1108.35,Churned
127,Female,70,Month-to-Month,61.77,2264.6,Churned
128,Female,31,Month-to-Month,41.82,4855.77,Churned
129,Male,27,One Year,84.8,4895.11,Not Churned
130,Male,58,One Year,49.01,3618.39,Churned
131,Male,24,Two Year,80.41,4226.47,Not Churned
132,Male,27,Month-to-Month,45.16,2528.08,Churned
133,Female,47,Two Year,44.83,3255.48,Not Churned
134,Male,27,One Year,40.22,1608.06,Churned
135,Male,41,Month-to-Month,70.74,3611.29,Churned
136,Female,39,One Year,76.71,2357.54,Churned
137,Male,19,Month-to-Month,56.67,1147.86,Not Churned
138,Female,69,Month-to-Month,43.88,4748.76,Not Churned
139,Male,40,One Year,40.84,3278.28,Churned
140,Female,29,Two Year,43.08,4652.95,Churned
141,Male,23,One Year,66.66,2773.01,Churned
142,Female,52,Month-to-Month,62.02,3918.0,Not Churned
143,Male,33,Month-to-Month,38.7,2563.02,Churned
144,Male,64,Month-to-Month,87.62,1093.77,Not Churned
145,Female,66,One Year,58.13,1709.66,Churned
146,Female,43,Month-to-Month,41.28,3596.98,Churned
147,Female,30,Two Year,59.65,4928.34,Not Churned
148,Female,50,Two Year,84.86,981.6,Not Churned
149,Female,47,Month-to-Month,33.73,2212.22,Not Churned
150,Female,50,Two Year,87.5,2268.86,Not Churned
151,Male,69,Month-to-Month,77.46,4622.61,Churned
152,Female,52,Month-to-Month,79.28,2422.69,Churned
153,Female,35,Two Year,47.58,2803.43,Not Churned
154,Female,29,One Year,68.16,1706.75,Not Churned
155,Female,28,Month-to-Month,92.52,3784.98,Not Churned
156,Female,66,Two Year,45.7,2518.12,Not Churned
157,Male,26,Month-to-Month,46.58,4483.61,Not Churned
158,Male,56,Month-to-Month,86.12,1716.68,Churned
159,Female,27,Two Year,99.62,546.19,Churned
160,Male,38,Two Year,91.31,3079.13,Churned
161,Female,53,Two Year,69.93,4501.58,Not Churned
162,Male,37,Two Year,64.72,1564.31,Churned
163,Male,58,Two Year,33.16,2926.88,Not Churned
164,Female,54,Month-to-Month,31.02,1901.64,Not Churned
165,Female,41,Month-to-Month,66.14,2999.9,Churned
166,Female,25,One Year,60.27,2490.89,Churned
167,Female,19,One Year,32.36,4352.93,Not Churned
168,Male,44,Two Year,79.99,4271.73,Not Churned
169,Female,29,Two Year,76.33,4959.55,Not Churned
170,Male,21,Two Year,40.59,2706.85,Churned
171,Male,50,Month-to-Month,60.75,582.05,Not Churned
172,Male,59,Two Year,78.9,1585.09,Churned
173,Male,30,One Year,62.7,3217.47,Not Churned
174,Female,27,Month-to-Month,74.84,510.1,Not Churned
175,Female,22,One Year,91.56,4940.0,Churned
176,Female,53,Month-to-Month,45.18,2870.24,Not Churned
177,Female,32,One Year,82.77,1437.95,Churned
178,Male,48,One Year,63.71,3300.92,Churned
179,Female,33,Two Year,57.64,2450.53,Not Churned
180,Female,24,Month-to-Month,43.13,2884.13,Not Churned
181,Female,29,One Year,68.75,3788.27,Churned
182,Female,48,One Year,49.56,1738.32,Churned
183,Male,57,Month-to-Month,37.53,2354.68,Not Churned
184,Female,40,One Year,55.78,4016.31,Churned
185,Female,69,Month-to-Month,47.66,3539.93,Not Churned
186,Female,52,Two Year,33.12,3535.79,Not Churned
187,Female,27,Month-to-Month,46.29,3153.84,Not Churned
188,Male,39,Month-to-Month,85.98,971.33,Not Churned
189,Female,42,Month-to-Month,49.61,4367.46,Not Churned
190,Male,54,One Year,71.34,3793.89,Not Churned
191,Female,59,Month-to-Month,42.65,2936.3,Churned
192,Female,68,Two Year,46.63,2693.88,Churned
193,Male,63,Two Year,90.41,4809.51,Not Churned
194,Male,39,Month-to-Month,46.35,3176.55,Not Churned
195,Male,41,Two Year,42.09,3189.97,Churned
196,Male,60,Month-to-Month,36.36,3518.44,Churned
197,Female,59,Month-to-Month,44.17,2230.15,Not Churned
198,Male,53,Two Year,59.45,674.79,Churned
199,Male,47,One Year,70.24,3803.64,Not Churned
200,Female,66,One Year,86.76,3072.08,Churned
201,Female,46,Two Year,41.01,2325.19,Churned
202,Male,59,Two Year,97.66,2153.23,Not Churned
203,Female,48,Month-to-Month,37.72,664.72,Not Churned
204,Male,61,Month-to-Month,86.09,2605.07,Churned
205,Male,67,Two Year,66.47,3278.77,Not Churned
206,Female,42,One Year,84.01,1398.93,Churned
207,Female,28,Two Year,65.84,4732.24,Churned
208,Male,55,Month-to-Month,75.92,2141.76,Not Churned
209,Female,56,One Year,66.96,763.27,Not Churned
210,Male,19,Month-to-Month,97.92,735.38,Churned
211,Female,66,Two Year,74.25,2437.44,Not Churned
212,Female,53,Two Year,50.79,1433.54,Churned
213,Female,51,Month-to-Month,37.15,3589.47,Churned
214,Male,70,Two Year,48.2,1424.86,Not Churned
215,Male,26,Month-to-Month,68.58,2450.87,Not Churned
216,Male,50,Two Year,99.69,2588.2,Not Churned
217,Female,54,One Year,88.19,1449.27,Churned
218,Male,63,Month-to-Month,87.75,3001.77,Churned
219,Female,38,One Year,44.73,3166.48,Churned
220,Male,55,One Year,81.81,2342.33,Not Churned
221,Male,68,Two Year,80.72,4977.9,Not Churned
222,Male,59,Two Year,99.67,4425.54,Not Churned
223,Male,56,One Year,30.35,1469.6,Not Churned
224,Male,30,Two Year,40.84,3749.37,Churned
225,Male,64,Month-to-Month,58.45,4307.24,Churned
226,Female,42,Month-to-Month,73.72,3148.61,Churned
227,Male,20,Two Year,63.77,4226.05,Churned
228,Female,34,One Year,62.07,4128.11,Not Churned
229,Female,63,Two Year,69.37,4279.26,Churned
230,Male,46,Two Year,77.7,2184.77,Churned
231,Male,68,Two Year,99.06,4952.65,Not Churned
232,Male,61,Month-to-Month,53.9,538.7,Churned
233,Male,64,One Year,72.15,2502.86,Not Churned
234,Female,70,One Year,41.09,3709.55,Churned
235,Female,44,Month-to-Month,86.96,1272.77,Churned
236,Male,37,Two Year,67.96,4645.35,Not Churned
237,Male,40,Month-to-Month,53.54,3749.67,Churned
238,Female,21,Two Year,84.05,2794.91,Churned
239,Male,51,One Year,73.8,2143.81,Churned
240,Male,70,Month-to-Month,42.71,2703.15,Not Churned
241,Female,26,Two Year,41.43,3722.42,Not Churned
242,Female,64,Two Year,67.38,1542.1,Churned
243,Male,62,Two Year,57.17,2023.22,Churned
244,Female,66,One Year,45.01,2826.22,Churned
245,Female,66,One Year,87.69,1229.67,Not Churned
246,Female,53,Two Year,56.05,1537.68,Not Churned
247,Male,33,One Year,47.39,2627.65,Churned
248,Female,29,Month-to-Month,51.43,2572.25,Churned
249,Female,67,Two Year,80.17,4988.55,Not Churned
250,Male,68,Two Year,86.98,2120.99,Not Churned
251,Male,42,Month-to-Month,86.91,1946.39,Churned
252,Male,45,One Year,34.1,1434.42,Churned
253,Female,38,Two Year,39.57,3211.74,Not Churned
254,Female,27,One Year,36.42,4717.89,Churned
255,Female,44,Two Year,63.19,3817.51,Not Churned
256,Female,44,One Year,51.52,2016.99,Not Churned
257,Male,51,One Year,50.06,1901.74,Not Churned
258,Female,47,Month-to-Month,55.96,1410.27,Not Churned
259,Female,48,One Year,99.35,2686.77,Not Churned
260,Female,68,One Year,30.35,1509.63,Not Churned
261,Male,63,Two Year,81.3,2148.88,Not Churned
262,Male,23,Two Year,42.46,1366.63,Churned
263,Male,59,Two Year,85.68,818.43,Churned
264,Female,58,Two Year,54.52,4532.68,Not Churned
265,Male,57,Two Year,51.96,1257.95,Not Churned
266,Male,33,One Year,57.03,3228.82,Churned
267,Male,23,Month-to-Month,33.66,3791.59,Not Churned
268,Female,41,Two Year,50.14,4565.96,Not Churned
269,Female,60,Two Year,35.73,843.5,Not Churned
270,Female,29,One Year,66.39,3868.13,Not Churned
271,Male,52,Month-to-Month,40.42,1015.84,Churned
272,Male,54,Month-to-Month,96.94,2946.4,Not Churned
273,Male,29,One Year,88.07,3747.13,Not Churned
274,Female,30,Month-to-Month,65.88,4359.93,Churned
275,Male,38,Month-to-Month,67.35,1181.03,Churned
276,Female,32,Two Year,95.74,1825.22,Not Churned
277,Female,22,One Year,66.7,2760.52,Churned
278,Male,52,One Year,74.44,3998.05,Churned
279,Male,70,Two Year,90.97,2940.26,Churned
280,Male,41,Two Year,44.24,4387.52,Not Churned
281,Male,25,Two Year,81.63,3942.02,Churned
282,Female,36,Two Year,84.07,1815.1,Not Churned
283,Male,45,Two Year,54.54,3564.98,Not Churned
284,Male,51,Two Year,59.71,1503.15,Not Churned
285,Female,27,One Year,58.46,4554.25,Not Churned
286,Male,60,Month-to-Month,47.01,3038.0,Churned
287,Male,27,One Year,90.6,4900.91,Churned
288,Female,23,Month-to-Month,39.17,1439.47,Churned
289,Male,52,One Year,65.37,2621.04,Churned
290,Male,56,One Year,85.29,3446.21,Churned
291,Male,48,Two Year,93.15,1289.66,Not Churned
292,Male,56,One Year,85.28,4592.82,Not Churned
293,Male,65,Month-to-Month,78.02,4279.64,Churned
294,Female,40,One Year,45.36,4839.57,Churned
295,Female,33,Month-to-Month,87.52,1454.77,Not Churned
296,Female,55,Month-to-Month,32.03,1460.28,Not Churned
297,Male,18,Two Year,55.33,3785.47,Churned
298,Female,69,One Year,30.98,3086.86,Churned
299,Female,18,One Year,46.93,3116.71,Not Churned
300,Male,53,Month-to-Month,68.39,504.25,Not Churned
301,Male,49,One Year,67.21,2774.62,Churned
302,Male,57,Month-to-Month,88.65,3078.48,Not Churned
303,Female,37,One Year,56.77,3460.76,Not Churned
304,Male,22,Two Year,97.83,3250.35,Not Churned
305,Male,39,One Year,77.02,3443.65,Not Churned
306,Female,66,One Year,88.99,3895.21,Not Churned
307,Female,57,One Year,77.44,2182.06,Churned
308,Male,21,One Year,67.74,981.09,Not Churned
309,Female,57,Two Year,88.65,4649.3,Churned
310,Male,22,Month-to-Month,94.13,2603.35,Not Churned
311,Male,67,Month-to-Month,47.57,2806.6,Not Churned
312,Female,49,Month-to-Month,31.5,1181.35,Not Churned
313,Female,22,One Year,52.84,4012.9,Not Churned
314,Male,21,Two Year,76.25,708.76,Churned
315,Female,59,One Year,69.59,4914.76,Churned
316,Female,55,One Year,51.16,3058.01,Not Churned
317,Female,70,Month-to-Month,39.74,2283.26,Churned
318,Female,37,Month-to-Month,63.99,960.93,Churned
319,Female,68,Two Year,97.23,4635.51,Not Churned
320,Female,34,Two Year,89.21,2698.97,Churned
321,Female,48,One Year,93.9,4295.13,Not Churned
322,Female,55,Month-to-Month,94.11,4322.55,Churned
323,Female,32,One Year,81.09,4284.44,Not Churned
324,Male,50,Two Year,67.73,1502.14,Not Churned
325,Male,46,Two Year,74.35,2503.18,Not Churned
326,Female,31,Two Year,43.63,635.23,Churned
327,Female,40,One Year,44.47,3534.69,Churned
328,Female,23,Month-to-Month,89.02,1024.26,Churned
329,Male,43,Month-to-Month,66.93,2981.02,Churned
330,Female,24,Two Year,81.79,3979.52,Churned
331,Female,50,One Year,48.25,4075.7,Not Churned
332,Male,68,One Year,73.69,2464.34,Churned
333,Male,45,Month-to-Month,90.2,2447.43,Not Churned
334,Female,60,One Year,71.17,990.86,Churned
335,Female,69,Two Year,46.38,4717.29,Churned
336,Male,33,Month-to-Month,89.54,1375.74,Churned
337,Female,58,Two Year,73.68,591.47,Churned
338,Female,36,Month-to-Month,48.54,3229.75,Not Churned
339,Female,56,Two Year,93.99,1341.75,Not Churned
340,Male,53,Two Year,95.17,2745.35,Churned
341,Male,48,Two Year,90.75,1367.64,Not Churned
342,Male,22,Two Year,68.52,2959.44,Not Churned
343,Male,55,Month-to-Month,41.89,809.29,Churned
344,Female,40,Two Year,85.5,2651.76,Not Churned
345,Female,32,One Year,97.08,3963.34,Not Churned
346,Male,29,One Year,48.88,917.94,Churned
347,Male,54,Month-to-Month,43.87,4693.92,Churned
348,Male,25,Two Year,97.06,1619.43,Churned
349,Male,41,One Year,83.13,4428.54,Churned
350,Female,24,Month-to-Month,54.23,2130.63,Churned
351,Female,27,Month-to-Month,89.72,4289.24,Churned
352,Male,43,Month-to-Month,95.1,4886.04,Churned
353,Male,36,Two Year,59.44,764.46,Churned
354,Female,59,One Year,44.9,3564.93,Not Churned
355,Male,53,Two Year,62.48,4433.85,Churned
356,Female,67,Month-to-Month,65.59,3880.42,Churned
357,Female,27,One Year,68.82,3159.25,Churned
358,Male,57,Month-to-Month,87.65,2776.42,Not Churned
359,Female,52,Two Year,89.73,610.77,Not Churned
360,Male,51,Month-to-Month,59.39,2065.79,Churned
361,Female,59,Two Year,57.9,2758.6,Churned
362,Female,18,One Year,84.27,1534.79,Churned
363,Female,64,Two Year,56.54,1895.63,Not Churned
364,Male,51,Month-to-Month,31.81,546.76,Churned
365,Female,39,Month-to-Month,59.51,3042.41,Churned
366,Male,28,One Year,74.76,4183.11,Churned
367,Male,47,Two Year,38.18,1130.11,Not Churned
368,Male,48,Month-to-Month,51.6,4925.14,Churned
369,Male,32,One Year,77.47,2505.41,Churned
370,Male,35,Two Year,72.26,1219.52,Churned
371,Female,27,Month-to-Month,57.87,1617.01,Not Churned
372,Male,23,One Year,69.06,861.42,Not Churned
373,Male,29,Two Year,35.1,1615.17,Churned
374,Female,63,Two Year,56.65,1825.25,Not Churned
375,Male,69,One Year,37.27,1562.16,Not Churned
376,Female,29,Two Year,89.5,893.41,Not Churned
377,Male,60,One Year,48.94,852.04,Not Churned
378,Female,23,Two Year,47.86,2254.16,Not Churned
379,Male,21,Two Year,83.09,4829.43,Churned
380,Female,47,Two Year,36.63,4882.66,Not Churned
381,Female,43,One Year,92.07,3930.78,Not Churned
382,Female,24,Month-to-Month,83.54,1916.79,Not Churned
383,Female,26,Month-to-Month,84.74,4074.53,Churned
384,Female,46,One Year,30.76,2590.19,Churned
385,Male,35,One Year,39.8,669.81,Not Churned
386,Female,64,One Year,53.19,3037.48,Churned
387,Female,51,One Year,99.8,3349.16,Not Churned
388,Female,65,One Year,98.01,778.39,Churned
389,Female,51,Two Year,92.74,3746.87,Churned
390,Male,23,Two Year,69.04,3196.87,Churned
391,Female,51,One Year,71.51,1603.1,Not Churned
392,Female,18,One Year,62.05,1641.77,Churned
393,Male,45,One Year,81.9,3674.05,Churned
394,Female,67,Month-to-Month,55.91,4337.03,Not Churned
395,Female,26,One Year,70.36,1931.65,Churned
396,Female,42,Two Year,75.22,1063.92,Not Churned
397,Female,26,One Year,83.51,1236.72,Churned
398,Male,68,One Year,42.12,4576.7,Not Churned
399,Male,64,One Year,81.4,3296.46,Not Churned
400,Male,49,Two Year,57.72,3411.07,Churned
401,Male,37,One Year,62.86,2896.21,Not Churned
402,Male,39,One Year,89.19,2441.31,Churned
403,Female,18,Month-to-Month,97.5,2259.29,Not Churned
404,Male,39,Month-to-Month,84.41,1851.93,Churned
405,Female,55,One Year,59.75,2092.76,Churned
406,Female,34,Month-to-Month,90.83,3238.66,Churned
407,Female,48,Two Year,56.32,3765.56,Churned
408,Female,31,Two Year,62.73,2692.9,Churned
409,Female,23,One Year,89.0,3004.56,Not Churned
410,Male,33,Two Year,91.53,1981.23,Churned
411,Male,70,Two Year,37.63,3488.02,Churned
412,Male,24,One Year,34.42,3834.32,Not Churned
413,Female,48,Month-to-Month,72.85,2704.09,Not Churned
414,Female,31,One Year,98.54,1502.45,Not Churned
415,Female,51,Month-to-Month,37.73,4312.66,Not Churned
416,Female,58,Month-to-Month,52.31,1246.19,Not Churned
417,Female,26,One Year,91.86,3850.66,Not Churned
418,Female,53,Two Year,42.21,971.62,Churned
419,Female,32,One Year,71.19,2743.66,Churned
420,Female,24,One Year,95.66,934.0,Churned
421,Male,24,One Year,42.35,3766.78,Churned
422,Male,40,Two Year,67.56,589.52,Churned
423,Male,64,Two Year,84.06,739.22,Not Churned
424,Male,55,Month-to-Month,43.79,4174.66,Churned
425,Male,62,One Year,38.43,2561.14,Churned
426,Male,48,One Year,98.44,3444.8,Not Churned
427,Female,23,One Year,41.57,2163.53,Churned
428,Female,30,One Year,46.2,2204.71,Not Churned
429,Male,38,Month-to-Month,56.22,1788.82,Not Churned
430,Female,46,Two Year,70.91,1689.19,Not Churned
431,Female,39,Two Year,68.35,2596.24,Not Churned
432,Male,47,Month-to-Month,74.45,1112.48,Churned
433,Female,55,Two Year,60.91,827.23,Not Churned
434,Male,68,Two Year,60.25,4554.62,Not Churned
435,Male,69,Two Year,93.54,1648.17,Churned
436,Female,40,One Year,51.97,4982.86,Churned
437,Male,46,Month-to-Month,40.42,3056.2,Churned
438,Male,68,One Year,55.7,2629.81,Not Churned
439,Male,39,Two Year,53.03,690.76,Churned
440,Male,25,Month-to-Month,87.27,3898.83,Churned
441,Female,32,Month-to-Month,31.0,3781.68,Churned
442,Female,41,Two Year,70.86,1237.48,Not Churned
443,Male,38,Two Year,48.32,1890.57,Not Churned
444,Female,28,Two Year,40.88,4111.08,Churned
445,Male,44,One Year,32.86,579.7,Not Churned
446,Female,29,Month-to-Month,69.11,3515.99,Churned
447,Female,45,Month-to-Month,94.19,537.82,Not Churned
448,Male,60,One Year,64.72,505.15,Churned
449,Female,19,One Year,75.07,3618.79,Not Churned
450,Female,55,Two Year,49.5,3958.7,Churned
451,Female,53,Two Year,31.02,4670.58,Churned
452,Male,37,One Year,95.28,1413.48,Churned
453,Male,19,One Year,34.28,4806.6,Churned
454,Female,62,Two Year,52.31,1800.85,Churned
455,Female,49,Month-to-Month,94.95,3055.01,Not Churned
456,Female,58,Two Year,70.6,1744.27,Churned
457,Female,47,Month-to-Month,59.13,4365.28,Not Churned
458,Female,19,Month-to-Month,52.26,2224.25,Churned
459,Female,28,Two Year,93.89,4608.54,Churned
460,Male,68,Two Year,55.62,3503.38,Not Churned
461,Female,49,One Year,60.09,4235.91,Churned
462,Male,30,Month-to-Month,73.5,720.75,Not Churned
463,Female,43,Month-to-Month,64.06,2776.54,Churned
464,Female,41,Month-to-Month,88.29,3732.6,Churned
465,Female,43,Two Year,44.03,2923.0,Churned
466,Male,67,Month-to-Month,70.48,4864.93,Churned
467,Female,36,Month-to-Month,86.86,822.11,Not Churned
468,Male,36,Month-to-Month,50.68,2521.41,Churned
469,Female,54,One Year,89.82,2183.29,Not Churned
470,Male,36,One Year,68.34,3628.41,Not Churned
471,Female,59,Month-to-Month,99.23,3171.53,Not Churned
472,Female,70,Month-to-Month,83.96,1311.68,Not Churned
473,Female,27,One Year,87.8,4761.19,Not Churned
474,Male,69,One Year,36.99,2569.53,Churned
475,Female,67,Month-to-Month,44.81,1892.4,Churned
476,Male,56,Month-to-Month,55.32,949.64,Not Churned
477,Female,47,Two Year,60.42,2611.95,Churned
478,Male,68,Two Year,51.04,545.39,Churned
479,Female,32,One Year,69.83,1258.33,Churned
480,Male,36,Month-to-Month,44.47,3855.6,Not Churned
481,Male,48,Month-to-Month,69.4,3882.95,Churned
482,Male,65,Month-to-Month,96.41,953.9,Churned
483,Male,44,One Year,69.4,3988.58,Churned
484,Male,33,Two Year,36.92,4058.41,Churned
485,Male,51,Two Year,90.25,3246.96,Not Churned
486,Male,58,Month-to-Month,60.97,2953.7,Churned
487,Male,42,One Year,44.65,4016.23,Not Churned
488,Male,65,One Year,95.29,1912.58,Not Churned
489,Male,40,Month-to-Month,35.58,1168.01,Churned
490,Female,51,Two Year,46.11,1768.94,Not Churned
491,Female,47,One Year,86.84,3882.83,Not Churned
492,Female,46,Two Year,76.32,2768.42,Not Churned
493,Male,60,One Year,57.77,3747.76,Not Churned
494,Female,35,Month-to-Month,95.04,3298.93,Not Churned
495,Male,20,Month-to-Month,64.5,1382.91,Not Churned
496,Female,30,Month-to-Month,96.39,2990.95,Not Churned
497,Male,48,Two Year,65.65,2065.28,Churned
498,Male,62,One Year,38.02,1026.66,Not Churned
499,Female,65,Month-to-Month,60.81,3167.86,Not Churned
500,Male,33,Two Year,61.0,4602.2,Not Churned
501,Male,26,Month-to-Month,81.13,846.48,Churned
502,Male,45,Month-to-Month,91.38,3924.79,Churned
503,Female,69,Month-to-Month,78.21,3796.28,Churned
504,Male,19,One Year,45.51,3961.4,Churned
505,Male,44,One Year,46.55,544.72,Churned
506,Female,41,One Year,43.55,4840.65,Churned
507,Female,34,Month-to-Month,55.08,4468.04,Churned
508,Male,69,Month-to-Month,42.78,2689.57,Not Churned
509,Male,58,One Year,83.19,3876.45,Churned
510,Female,52,Month-to-Month,80.04,2102.35,Churned
511,Male,41,Two Year,88.92,3931.0,Churned
512,Male,34,One Year,41.1,4774.02,Not Churned
513,Female,37,Two Year,59.39,1883.0,Not Churned
514,Male,24,Two Year,53.53,694.33,Churned
515,Male,56,Month-to-Month,63.17,4416.17,Not Churned
516,Female,37,Two Year,85.88,2247.59,Not Churned
517,Male,48,One Year,56.94,4243.06,Churned
518,Female,23,One Year,58.89,3558.18,Not Churned
519,Male,61,Month-to-Month,42.38,4430.23,Not Churned
520,Male,43,One Year,41.76,4798.97,Churned
521,Male,39,Month-to-Month,38.51,2792.09,Churned
522,Female,24,One Year,89.36,4798.26,Churned
523,Male,43,Two Year,97.73,733.29,Not Churned
524,Female,20,One Year,91.99,4423.32,Churned
525,Female,28,One Year,68.23,1399.6,Churned
